"ID_Temps","date_transaction","jour","mois","trimestre","annee","date_transaction_reelle"
"29","2007-01-29","29","1","1","2007","Mon Jan 29 10:33:44 GMT+01:00 2007"
"30","2007-01-30","30","1","1","2007","Tue Jan 30 08:20:42 GMT+01:00 2007"
"31","2007-01-31","31","1","1","2007","Wed Jan 31 00:31:07 GMT+01:00 2007"
"32","2007-02-01","1","2","1","2007","Thu Feb 01 09:10:53 GMT+01:00 2007"
"33","2007-02-02","2","2","1","2007","Fri Feb 02 13:05:22 GMT+01:00 2007"
"34","2007-02-03","3","2","1","2007","Sat Feb 03 14:07:04 GMT+01:00 2007"
"35","2007-02-04","4","2","1","2007","Sun Feb 04 20:02:27 GMT+01:00 2007"
"36","2007-02-05","5","2","1","2007","Mon Feb 05 15:13:34 GMT+01:00 2007"
"37","2007-02-06","6","2","1","2007","Tue Feb 06 03:49:45 GMT+01:00 2007"
"38","2007-02-07","7","2","1","2007","Wed Feb 07 03:35:48 GMT+01:00 2007"
"39","2007-02-08","8","2","1","2007","Thu Feb 08 19:25:40 GMT+01:00 2007"
"40","2007-02-09","9","2","1","2007","Fri Feb 09 11:57:51 GMT+01:00 2007"
"41","2007-02-10","10","2","1","2007","Sat Feb 10 09:42:56 GMT+01:00 2007"
"42","2007-02-11","11","2","1","2007","Sun Feb 11 10:36:11 GMT+01:00 2007"
"43","2007-02-12","12","2","1","2007","Mon Feb 12 06:53:35 GMT+01:00 2007"
"44","2007-02-13","13","2","1","2007","Tue Feb 13 18:38:57 GMT+01:00 2007"
"45","2007-02-14","14","2","1","2007","Wed Feb 14 15:00:55 GMT+01:00 2007"
"46","2007-02-15","15","2","1","2007","Thu Feb 15 15:04:23 GMT+01:00 2007"
"47","2007-02-16","16","2","1","2007","Fri Feb 16 21:30:02 GMT+01:00 2007"
"48","2007-02-17","17","2","1","2007","Sat Feb 17 22:05:51 GMT+01:00 2007"
"49","2007-02-18","18","2","1","2007","Sun Feb 18 14:09:55 GMT+01:00 2007"
"50","2007-02-19","19","2","1","2007","Mon Feb 19 08:39:26 GMT+01:00 2007"
"51","2007-02-20","20","2","1","2007","Tue Feb 20 13:45:53 GMT+01:00 2007"
"52","2007-02-21","21","2","1","2007","Wed Feb 21 20:36:05 GMT+01:00 2007"
"53","2007-02-22","22","2","1","2007","Thu Feb 22 00:53:19 GMT+01:00 2007"
"54","2007-02-23","23","2","1","2007","Fri Feb 23 05:54:06 GMT+01:00 2007"
"55","2007-02-24","24","2","1","2007","Sat Feb 24 09:01:51 GMT+01:00 2007"
"56","2007-02-25","25","2","1","2007","Sun Feb 25 14:28:57 GMT+01:00 2007"
"57","2007-02-26","26","2","1","2007","Mon Feb 26 00:07:38 GMT+01:00 2007"
"58","2007-02-27","27","2","1","2007","Tue Feb 27 11:28:10 GMT+01:00 2007"
"59","2007-02-28","28","2","1","2007","Wed Feb 28 07:25:37 GMT+01:00 2007"
"60","2007-03-01","1","3","1","2007","Thu Mar 01 21:58:13 GMT+01:00 2007"
"61","2007-03-02","2","3","1","2007","Fri Mar 02 17:47:58 GMT+01:00 2007"
"62","2007-03-03","3","3","1","2007","Sat Mar 03 18:58:58 GMT+01:00 2007"
"63","2007-03-04","4","3","1","2007","Sun Mar 04 22:12:27 GMT+01:00 2007"
"64","2007-03-05","5","3","1","2007","Mon Mar 05 05:17:25 GMT+01:00 2007"
"65","2007-03-06","6","3","1","2007","Tue Mar 06 08:46:39 GMT+01:00 2007"
"66","2007-03-07","7","3","1","2007","Wed Mar 07 05:14:31 GMT+01:00 2007"
"67","2007-03-08","8","3","1","2007","Thu Mar 08 22:18:15 GMT+01:00 2007"
"68","2007-03-09","9","3","1","2007","Fri Mar 09 15:08:27 GMT+01:00 2007"
"69","2007-03-10","10","3","1","2007","Sat Mar 10 20:12:50 GMT+01:00 2007"
"70","2007-03-11","11","3","1","2007","Sun Mar 11 21:54:57 GMT+01:00 2007"
"71","2007-03-12","12","3","1","2007","Mon Mar 12 06:52:02 GMT+01:00 2007"
"72","2007-03-13","13","3","1","2007","Tue Mar 13 12:34:19 GMT+01:00 2007"
"73","2007-03-14","14","3","1","2007","Wed Mar 14 23:35:06 GMT+01:00 2007"
"74","2007-03-15","15","3","1","2007","Thu Mar 15 13:39:54 GMT+01:00 2007"
"75","2007-03-16","16","3","1","2007","Fri Mar 16 11:02:50 GMT+01:00 2007"
"76","2007-03-17","17","3","1","2007","Sat Mar 17 10:11:22 GMT+01:00 2007"
"77","2007-03-18","18","3","1","2007","Sun Mar 18 10:35:46 GMT+01:00 2007"
"78","2007-03-19","19","3","1","2007","Mon Mar 19 09:01:53 GMT+01:00 2007"
"79","2007-03-20","20","3","1","2007","Tue Mar 20 17:53:00 GMT+01:00 2007"
"80","2007-03-21","21","3","1","2007","Wed Mar 21 22:17:20 GMT+01:00 2007"
"81","2007-03-22","22","3","1","2007","Thu Mar 22 19:17:06 GMT+01:00 2007"
"82","2007-03-23","23","3","1","2007","Fri Mar 23 15:49:05 GMT+01:00 2007"
"83","2007-03-24","24","3","1","2007","Sat Mar 24 21:02:10 GMT+01:00 2007"
"84","2007-03-25","25","3","1","2007","Sun Mar 25 09:28:23 GMT+01:00 2007"
"85","2007-03-26","26","3","1","2007","Mon Mar 26 09:28:40 GMT+01:00 2007"
"86","2007-03-27","27","3","1","2007","Tue Mar 27 06:17:54 GMT+01:00 2007"
"87","2007-03-28","28","3","1","2007","Wed Mar 28 03:50:34 GMT+01:00 2007"
"88","2007-03-29","29","3","1","2007","Thu Mar 29 10:52:00 GMT+01:00 2007"
"89","2007-03-30","30","3","1","2007","Fri Mar 30 19:35:14 GMT+01:00 2007"
"90","2007-03-31","31","3","1","2007","Sat Mar 31 00:09:15 GMT+01:00 2007"
"91","2007-04-01","1","4","2","2007","Sun Apr 01 02:55:05 GMT+01:00 2007"
"92","2007-04-02","2","4","2","2007","Mon Apr 02 09:00:00 GMT+01:00 2007"
"93","2007-04-03","3","4","2","2007","Tue Apr 03 13:10:18 GMT+01:00 2007"
"94","2007-04-04","4","4","2","2007","Wed Apr 04 04:13:50 GMT+01:00 2007"
"95","2007-04-05","5","4","2","2007","Thu Apr 05 11:28:00 GMT+01:00 2007"
"96","2007-04-06","6","4","2","2007","Fri Apr 06 08:39:29 GMT+01:00 2007"
"97","2007-04-07","7","4","2","2007","Sat Apr 07 12:13:19 GMT+01:00 2007"
"98","2007-04-08","8","4","2","2007","Sun Apr 08 01:45:00 GMT+01:00 2007"
"99","2007-04-09","9","4","2","2007","Mon Apr 09 17:40:45 GMT+01:00 2007"
"100","2007-04-10","10","4","2","2007","Tue Apr 10 19:02:49 GMT+01:00 2007"
"101","2007-04-11","11","4","2","2007","Wed Apr 11 16:47:36 GMT+01:00 2007"
"102","2007-04-12","12","4","2","2007","Thu Apr 12 17:04:06 GMT+01:00 2007"
"103","2007-04-13","13","4","2","2007","Fri Apr 13 05:54:01 GMT+01:00 2007"
"104","2007-04-14","14","4","2","2007","Sat Apr 14 23:10:45 GMT+01:00 2007"
"105","2007-04-15","15","4","2","2007","Sun Apr 15 18:26:31 GMT+01:00 2007"
"106","2007-04-16","16","4","2","2007","Mon Apr 16 18:15:25 GMT+01:00 2007"
"107","2007-04-17","17","4","2","2007","Tue Apr 17 15:25:42 GMT+01:00 2007"
"108","2007-04-18","18","4","2","2007","Wed Apr 18 07:37:49 GMT+01:00 2007"
"109","2007-04-19","19","4","2","2007","Thu Apr 19 09:34:48 GMT+01:00 2007"
"110","2007-04-20","20","4","2","2007","Fri Apr 20 06:20:06 GMT+01:00 2007"
"111","2007-04-21","21","4","2","2007","Sat Apr 21 06:23:34 GMT+01:00 2007"
"112","2007-04-22","22","4","2","2007","Sun Apr 22 18:44:34 GMT+01:00 2007"
"113","2007-04-23","23","4","2","2007","Mon Apr 23 11:45:36 GMT+01:00 2007"
"114","2007-04-24","24","4","2","2007","Tue Apr 24 17:45:41 GMT+01:00 2007"
"115","2007-04-25","25","4","2","2007","Wed Apr 25 02:03:06 GMT+01:00 2007"
"116","2007-04-26","26","4","2","2007","Thu Apr 26 09:01:43 GMT+01:00 2007"
"117","2007-04-27","27","4","2","2007","Fri Apr 27 18:16:29 GMT+01:00 2007"
"118","2007-04-28","28","4","2","2007","Sat Apr 28 02:55:45 GMT+01:00 2007"
"119","2007-04-29","29","4","2","2007","Sun Apr 29 22:59:50 GMT+01:00 2007"
"120","2007-04-30","30","4","2","2007","Mon Apr 30 09:43:53 GMT+01:00 2007"
"121","2007-05-01","1","5","2","2007","Tue May 01 08:18:19 GMT+01:00 2007"
"122","2007-05-02","2","5","2","2007","Wed May 02 22:22:28 GMT+01:00 2007"
"123","2007-05-03","3","5","2","2007","Thu May 03 14:32:47 GMT+01:00 2007"
"124","2007-05-04","4","5","2","2007","Fri May 04 12:39:06 GMT+01:00 2007"
"125","2007-05-05","5","5","2","2007","Sat May 05 02:30:10 GMT+01:00 2007"
"126","2007-05-06","6","5","2","2007","Sun May 06 22:31:31 GMT+01:00 2007"
"127","2007-05-07","7","5","2","2007","Mon May 07 20:58:07 GMT+01:00 2007"
"128","2007-05-08","8","5","2","2007","Tue May 08 20:50:58 GMT+01:00 2007"
"129","2007-05-09","9","5","2","2007","Wed May 09 20:50:04 GMT+01:00 2007"
"130","2007-05-10","10","5","2","2007","Thu May 10 13:34:20 GMT+01:00 2007"
"131","2007-05-11","11","5","2","2007","Fri May 11 11:03:38 GMT+01:00 2007"
"132","2007-05-12","12","5","2","2007","Sat May 12 22:06:08 GMT+01:00 2007"
"133","2007-05-13","13","5","2","2007","Sun May 13 09:20:31 GMT+01:00 2007"
"134","2007-05-14","14","5","2","2007","Mon May 14 02:30:24 GMT+01:00 2007"
"135","2007-05-15","15","5","2","2007","Tue May 15 10:18:05 GMT+01:00 2007"
"136","2007-05-16","16","5","2","2007","Wed May 16 13:52:44 GMT+01:00 2007"
"137","2007-05-17","17","5","2","2007","Thu May 17 00:39:46 GMT+01:00 2007"
"138","2007-05-18","18","5","2","2007","Fri May 18 13:39:14 GMT+01:00 2007"
"139","2007-05-19","19","5","2","2007","Sat May 19 03:35:25 GMT+01:00 2007"
"140","2007-05-20","20","5","2","2007","Sun May 20 17:47:58 GMT+01:00 2007"
"141","2007-05-21","21","5","2","2007","Mon May 21 03:40:07 GMT+01:00 2007"
"142","2007-05-22","22","5","2","2007","Tue May 22 00:00:16 GMT+01:00 2007"
"143","2007-05-23","23","5","2","2007","Wed May 23 10:32:24 GMT+01:00 2007"
"144","2007-05-24","24","5","2","2007","Thu May 24 12:45:19 GMT+01:00 2007"
"145","2007-05-25","25","5","2","2007","Fri May 25 04:32:51 GMT+01:00 2007"
"146","2007-05-26","26","5","2","2007","Sat May 26 20:51:20 GMT+01:00 2007"
"147","2007-05-27","27","5","2","2007","Sun May 27 16:25:01 GMT+01:00 2007"
"148","2007-05-28","28","5","2","2007","Mon May 28 23:31:13 GMT+01:00 2007"
"149","2007-05-29","29","5","2","2007","Tue May 29 08:44:53 GMT+01:00 2007"
"150","2007-05-30","30","5","2","2007","Wed May 30 06:35:21 GMT+01:00 2007"
"151","2007-05-31","31","5","2","2007","Thu May 31 11:13:04 GMT+01:00 2007"
"152","2007-06-01","1","6","2","2007","Fri Jun 01 09:58:20 GMT+01:00 2007"
"153","2007-06-02","2","6","2","2007","Sat Jun 02 19:56:51 GMT+01:00 2007"
"154","2007-06-03","3","6","2","2007","Sun Jun 03 03:00:34 GMT+01:00 2007"
"155","2007-06-04","4","6","2","2007","Mon Jun 04 18:40:19 GMT+01:00 2007"
"156","2007-06-05","5","6","2","2007","Tue Jun 05 05:26:37 GMT+01:00 2007"
"157","2007-06-06","6","6","2","2007","Wed Jun 06 15:59:28 GMT+01:00 2007"
"158","2007-06-07","7","6","2","2007","Thu Jun 07 15:32:11 GMT+01:00 2007"
"159","2007-06-08","8","6","2","2007","Fri Jun 08 09:59:32 GMT+01:00 2007"
"160","2007-06-09","9","6","2","2007","Sat Jun 09 04:53:12 GMT+01:00 2007"
"161","2007-06-10","10","6","2","2007","Sun Jun 10 02:36:42 GMT+01:00 2007"
"162","2007-06-11","11","6","2","2007","Mon Jun 11 09:07:05 GMT+01:00 2007"
"163","2007-06-12","12","6","2","2007","Tue Jun 12 16:58:41 GMT+01:00 2007"
"164","2007-06-13","13","6","2","2007","Wed Jun 13 14:06:41 GMT+01:00 2007"
"165","2007-06-14","14","6","2","2007","Thu Jun 14 05:43:34 GMT+01:00 2007"
"166","2007-06-15","15","6","2","2007","Fri Jun 15 19:12:19 GMT+01:00 2007"
"167","2007-06-16","16","6","2","2007","Sat Jun 16 18:25:29 GMT+01:00 2007"
"168","2007-06-17","17","6","2","2007","Sun Jun 17 07:17:33 GMT+01:00 2007"
"169","2007-06-18","18","6","2","2007","Mon Jun 18 23:18:26 GMT+01:00 2007"
"170","2007-06-19","19","6","2","2007","Tue Jun 19 07:45:18 GMT+01:00 2007"
"171","2007-06-20","20","6","2","2007","Wed Jun 20 15:20:53 GMT+01:00 2007"
"172","2007-06-21","21","6","2","2007","Thu Jun 21 17:29:30 GMT+01:00 2007"
"173","2007-06-22","22","6","2","2007","Fri Jun 22 18:18:41 GMT+01:00 2007"
"174","2007-06-23","23","6","2","2007","Sat Jun 23 10:58:18 GMT+01:00 2007"
"175","2007-06-24","24","6","2","2007","Sun Jun 24 16:17:36 GMT+01:00 2007"
"176","2007-06-25","25","6","2","2007","Mon Jun 25 10:00:03 GMT+01:00 2007"
"177","2007-06-26","26","6","2","2007","Tue Jun 26 22:31:28 GMT+01:00 2007"
"178","2007-06-27","27","6","2","2007","Wed Jun 27 02:28:20 GMT+01:00 2007"
"179","2007-06-28","28","6","2","2007","Thu Jun 28 12:49:57 GMT+01:00 2007"
"180","2007-06-29","29","6","2","2007","Fri Jun 29 00:51:51 GMT+01:00 2007"
"181","2007-06-30","30","6","2","2007","Sat Jun 30 05:19:57 GMT+01:00 2007"
"182","2007-07-01","1","7","3","2007","Sun Jul 01 09:52:47 GMT+01:00 2007"
"183","2007-07-02","2","7","3","2007","Mon Jul 02 05:44:52 GMT+01:00 2007"
"184","2007-07-03","3","7","3","2007","Tue Jul 03 11:25:04 GMT+01:00 2007"
"185","2007-07-04","4","7","3","2007","Wed Jul 04 14:47:31 GMT+01:00 2007"
"186","2007-07-05","5","7","3","2007","Thu Jul 05 12:57:03 GMT+01:00 2007"
"187","2007-07-06","6","7","3","2007","Fri Jul 06 09:28:45 GMT+01:00 2007"
"188","2007-07-07","7","7","3","2007","Sat Jul 07 06:30:39 GMT+01:00 2007"
"189","2007-07-08","8","7","3","2007","Sun Jul 08 19:48:57 GMT+01:00 2007"
"190","2007-07-09","9","7","3","2007","Mon Jul 09 15:13:30 GMT+01:00 2007"
"191","2007-07-10","10","7","3","2007","Tue Jul 10 18:28:06 GMT+01:00 2007"
"192","2007-07-11","11","7","3","2007","Wed Jul 11 14:02:04 GMT+01:00 2007"
"193","2007-07-12","12","7","3","2007","Thu Jul 12 04:42:03 GMT+01:00 2007"
"194","2007-07-13","13","7","3","2007","Fri Jul 13 02:42:38 GMT+01:00 2007"
"195","2007-07-14","14","7","3","2007","Sat Jul 14 06:33:22 GMT+01:00 2007"
"196","2007-07-15","15","7","3","2007","Sun Jul 15 23:31:38 GMT+01:00 2007"
"197","2007-07-16","16","7","3","2007","Mon Jul 16 02:43:55 GMT+01:00 2007"
"198","2007-07-17","17","7","3","2007","Tue Jul 17 02:51:03 GMT+01:00 2007"
"199","2007-07-18","18","7","3","2007","Wed Jul 18 08:02:33 GMT+01:00 2007"
"200","2007-07-19","19","7","3","2007","Thu Jul 19 02:34:35 GMT+01:00 2007"
"201","2007-07-20","20","7","3","2007","Fri Jul 20 20:51:41 GMT+01:00 2007"
"202","2007-07-21","21","7","3","2007","Sat Jul 21 16:09:07 GMT+01:00 2007"
"203","2007-07-22","22","7","3","2007","Sun Jul 22 08:50:58 GMT+01:00 2007"
"204","2007-07-23","23","7","3","2007","Mon Jul 23 13:48:54 GMT+01:00 2007"
"205","2007-07-24","24","7","3","2007","Tue Jul 24 11:23:05 GMT+01:00 2007"
"206","2007-07-25","25","7","3","2007","Wed Jul 25 10:53:41 GMT+01:00 2007"
"207","2007-07-26","26","7","3","2007","Thu Jul 26 07:35:20 GMT+01:00 2007"
"208","2007-07-27","27","7","3","2007","Fri Jul 27 06:35:44 GMT+01:00 2007"
"209","2007-07-28","28","7","3","2007","Sat Jul 28 19:18:49 GMT+01:00 2007"
"210","2007-07-29","29","7","3","2007","Sun Jul 29 03:52:29 GMT+01:00 2007"
"211","2007-07-30","30","7","3","2007","Mon Jul 30 17:02:57 GMT+01:00 2007"
"212","2007-07-31","31","7","3","2007","Tue Jul 31 08:58:59 GMT+01:00 2007"
"213","2007-08-01","1","8","3","2007","Wed Aug 01 02:33:51 GMT+01:00 2007"
"214","2007-08-02","2","8","3","2007","Thu Aug 02 23:23:36 GMT+01:00 2007"
"215","2007-08-03","3","8","3","2007","Fri Aug 03 01:56:38 GMT+01:00 2007"
"216","2007-08-04","4","8","3","2007","Sat Aug 04 21:44:57 GMT+01:00 2007"
"217","2007-08-05","5","8","3","2007","Sun Aug 05 01:59:16 GMT+01:00 2007"
"218","2007-08-06","6","8","3","2007","Mon Aug 06 23:51:52 GMT+01:00 2007"
"219","2007-08-07","7","8","3","2007","Tue Aug 07 08:28:15 GMT+01:00 2007"
"220","2007-08-08","8","8","3","2007","Wed Aug 08 20:39:47 GMT+01:00 2007"
"221","2007-08-09","9","8","3","2007","Thu Aug 09 21:08:23 GMT+01:00 2007"
"222","2007-08-10","10","8","3","2007","Fri Aug 10 02:05:45 GMT+01:00 2007"
"223","2007-08-11","11","8","3","2007","Sat Aug 11 17:44:49 GMT+01:00 2007"
"224","2007-08-12","12","8","3","2007","Sun Aug 12 04:09:10 GMT+01:00 2007"
"225","2007-08-13","13","8","3","2007","Mon Aug 13 07:54:03 GMT+01:00 2007"
"226","2007-08-14","14","8","3","2007","Tue Aug 14 00:41:56 GMT+01:00 2007"
"227","2007-08-15","15","8","3","2007","Wed Aug 15 12:50:43 GMT+01:00 2007"
"228","2007-08-16","16","8","3","2007","Thu Aug 16 17:46:16 GMT+01:00 2007"
"229","2007-08-17","17","8","3","2007","Fri Aug 17 08:46:34 GMT+01:00 2007"
"230","2007-08-18","18","8","3","2007","Sat Aug 18 21:29:11 GMT+01:00 2007"
"231","2007-08-19","19","8","3","2007","Sun Aug 19 13:04:42 GMT+01:00 2007"
"232","2007-08-20","20","8","3","2007","Mon Aug 20 21:13:08 GMT+01:00 2007"
"233","2007-08-21","21","8","3","2007","Tue Aug 21 17:34:06 GMT+01:00 2007"
"234","2007-08-22","22","8","3","2007","Wed Aug 22 23:37:32 GMT+01:00 2007"
"235","2007-08-23","23","8","3","2007","Thu Aug 23 19:52:34 GMT+01:00 2007"
"236","2007-08-24","24","8","3","2007","Fri Aug 24 22:35:42 GMT+01:00 2007"
"237","2007-08-25","25","8","3","2007","Sat Aug 25 19:42:39 GMT+01:00 2007"
"238","2007-08-26","26","8","3","2007","Sun Aug 26 12:13:44 GMT+01:00 2007"
"239","2007-08-27","27","8","3","2007","Mon Aug 27 03:17:25 GMT+01:00 2007"
"240","2007-08-28","28","8","3","2007","Tue Aug 28 15:35:47 GMT+01:00 2007"
"241","2007-08-29","29","8","3","2007","Wed Aug 29 09:18:41 GMT+01:00 2007"
"242","2007-08-30","30","8","3","2007","Thu Aug 30 19:40:01 GMT+01:00 2007"
"243","2007-08-31","31","8","3","2007","Fri Aug 31 07:27:58 GMT+01:00 2007"
"244","2007-09-01","1","9","3","2007","Sat Sep 01 09:30:35 GMT+01:00 2007"
"245","2007-09-02","2","9","3","2007","Sun Sep 02 10:44:57 GMT+01:00 2007"
"246","2007-09-03","3","9","3","2007","Mon Sep 03 07:31:01 GMT+01:00 2007"
"247","2007-09-04","4","9","3","2007","Tue Sep 04 21:24:43 GMT+01:00 2007"
"248","2007-09-05","5","9","3","2007","Wed Sep 05 17:36:21 GMT+01:00 2007"
"249","2007-09-06","6","9","3","2007","Thu Sep 06 22:46:33 GMT+01:00 2007"
"250","2007-09-07","7","9","3","2007","Fri Sep 07 02:35:33 GMT+01:00 2007"
"251","2007-09-08","8","9","3","2007","Sat Sep 08 10:09:55 GMT+01:00 2007"
"252","2007-09-09","9","9","3","2007","Sun Sep 09 02:02:40 GMT+01:00 2007"
"253","2007-09-10","10","9","3","2007","Mon Sep 10 03:56:14 GMT+01:00 2007"
"254","2007-09-11","11","9","3","2007","Tue Sep 11 14:33:51 GMT+01:00 2007"
"255","2007-09-12","12","9","3","2007","Wed Sep 12 18:28:44 GMT+01:00 2007"
"256","2007-09-13","13","9","3","2007","Thu Sep 13 17:38:31 GMT+01:00 2007"
"257","2007-09-14","14","9","3","2007","Fri Sep 14 13:50:51 GMT+01:00 2007"
"258","2007-09-15","15","9","3","2007","Sat Sep 15 03:07:29 GMT+01:00 2007"
"259","2007-09-16","16","9","3","2007","Sun Sep 16 23:36:27 GMT+01:00 2007"
"260","2007-09-17","17","9","3","2007","Mon Sep 17 12:34:54 GMT+01:00 2007"
"261","2007-09-18","18","9","3","2007","Tue Sep 18 19:55:36 GMT+01:00 2007"
"262","2007-09-19","19","9","3","2007","Wed Sep 19 04:34:23 GMT+01:00 2007"
"263","2007-09-20","20","9","3","2007","Thu Sep 20 03:45:22 GMT+01:00 2007"
"264","2007-09-21","21","9","3","2007","Fri Sep 21 08:35:28 GMT+01:00 2007"
"265","2007-09-22","22","9","3","2007","Sat Sep 22 12:27:22 GMT+01:00 2007"
"266","2007-09-23","23","9","3","2007","Sun Sep 23 19:24:43 GMT+01:00 2007"
"267","2007-09-24","24","9","3","2007","Mon Sep 24 03:19:47 GMT+01:00 2007"
"268","2007-09-25","25","9","3","2007","Tue Sep 25 19:21:15 GMT+01:00 2007"
"269","2007-09-26","26","9","3","2007","Wed Sep 26 13:02:23 GMT+01:00 2007"
"270","2007-09-27","27","9","3","2007","Thu Sep 27 04:29:19 GMT+01:00 2007"
"271","2007-09-28","28","9","3","2007","Fri Sep 28 21:59:54 GMT+01:00 2007"
"272","2007-09-29","29","9","3","2007","Sat Sep 29 14:18:46 GMT+01:00 2007"
"273","2007-09-30","30","9","3","2007","Sun Sep 30 12:45:00 GMT+01:00 2007"
"274","2007-10-01","1","10","4","2007","Mon Oct 01 19:50:03 GMT+01:00 2007"
"275","2007-10-02","2","10","4","2007","Tue Oct 02 05:35:21 GMT+01:00 2007"
"276","2007-10-03","3","10","4","2007","Wed Oct 03 19:40:48 GMT+01:00 2007"
"277","2007-10-04","4","10","4","2007","Thu Oct 04 20:34:37 GMT+01:00 2007"
"278","2007-10-05","5","10","4","2007","Fri Oct 05 05:59:31 GMT+01:00 2007"
"279","2007-10-06","6","10","4","2007","Sat Oct 06 14:24:18 GMT+01:00 2007"
"280","2007-10-07","7","10","4","2007","Sun Oct 07 12:38:39 GMT+01:00 2007"
"281","2007-10-08","8","10","4","2007","Mon Oct 08 14:40:36 GMT+01:00 2007"
"282","2007-10-09","9","10","4","2007","Tue Oct 09 01:14:46 GMT+01:00 2007"
"283","2007-10-10","10","10","4","2007","Wed Oct 10 12:39:21 GMT+01:00 2007"
"284","2007-10-11","11","10","4","2007","Thu Oct 11 20:42:47 GMT+01:00 2007"
"285","2007-10-12","12","10","4","2007","Fri Oct 12 11:46:11 GMT+01:00 2007"
"286","2007-10-13","13","10","4","2007","Sat Oct 13 15:10:27 GMT+01:00 2007"
"287","2007-10-14","14","10","4","2007","Sun Oct 14 16:56:01 GMT+01:00 2007"
"288","2007-10-15","15","10","4","2007","Mon Oct 15 08:15:32 GMT+01:00 2007"
"289","2007-10-16","16","10","4","2007","Tue Oct 16 01:42:05 GMT+01:00 2007"
"290","2007-10-17","17","10","4","2007","Wed Oct 17 20:11:21 GMT+01:00 2007"
"291","2007-10-18","18","10","4","2007","Thu Oct 18 14:46:15 GMT+01:00 2007"
"292","2007-10-19","19","10","4","2007","Fri Oct 19 14:18:30 GMT+01:00 2007"
"293","2007-10-20","20","10","4","2007","Sat Oct 20 04:04:10 GMT+01:00 2007"
"294","2007-10-21","21","10","4","2007","Sun Oct 21 03:20:18 GMT+01:00 2007"
"295","2007-10-22","22","10","4","2007","Mon Oct 22 04:11:03 GMT+01:00 2007"
"296","2007-10-23","23","10","4","2007","Tue Oct 23 23:44:03 GMT+01:00 2007"
"297","2007-10-24","24","10","4","2007","Wed Oct 24 10:27:42 GMT+01:00 2007"
"298","2007-10-25","25","10","4","2007","Thu Oct 25 19:57:16 GMT+01:00 2007"
"299","2007-10-26","26","10","4","2007","Fri Oct 26 12:24:13 GMT+01:00 2007"
"300","2007-10-27","27","10","4","2007","Sat Oct 27 14:39:34 GMT+01:00 2007"
"301","2007-10-28","28","10","4","2007","Sun Oct 28 21:56:17 GMT+01:00 2007"
"302","2007-10-29","29","10","4","2007","Mon Oct 29 17:01:58 GMT+01:00 2007"
"303","2007-10-30","30","10","4","2007","Tue Oct 30 04:21:14 GMT+01:00 2007"
"304","2007-10-31","31","10","4","2007","Wed Oct 31 07:24:23 GMT+01:00 2007"
