date_transaction,Montant,Type
2007-04-20,16697.0,Reel
2007-04-21,24475.0,Reel
2007-04-22,15372.0,Reel
2007-04-23,20163.0,Reel
2007-04-24,15285.0,Reel
2007-04-25,19048.0,Reel
2007-04-26,22337.0,Reel
2007-04-27,18141.0,Reel
2007-04-28,18815.0,Reel
2007-04-29,21238.0,Reel
2007-04-30,17802.0,Reel
2007-05-01,17107.0,Reel
2007-05-02,24844.0,Reel
2007-05-03,14729.0,Reel
2007-05-04,18783.0,Reel
2007-05-05,20471.0,Reel
2007-05-06,19751.0,Reel
2007-05-07,13882.0,Reel
2007-05-08,20202.0,Reel
2007-05-09,22300.0,Reel
2007-05-10,14660.0,Reel
2007-05-11,20597.0,Reel
2007-05-12,17190.0,Reel
2007-05-13,21428.0,Reel
2007-05-14,18605.0,Reel
2007-05-15,17572.0,Reel
2007-05-16,21981.0,Reel
2007-05-17,21395.0,Reel
2007-05-18,18524.0,Reel
2007-05-19,23054.0,Reel
2007-05-20,21099.0,Reel
2007-05-21,22568.0,Reel
2007-05-22,14332.0,Reel
2007-05-23,10334.0,Reel
2007-05-24,19392.0,Reel
2007-05-25,15686.0,Reel
2007-05-26,16402.0,Reel
2007-05-27,12645.0,Reel
2007-05-28,25544.0,Reel
2007-05-29,24921.0,Reel
2007-05-30,16642.0,Reel
2007-05-31,13818.0,Reel
2007-06-01,16980.0,Reel
2007-06-02,21605.0,Reel
2007-06-03,16755.0,Reel
2007-06-04,17376.0,Reel
2007-06-05,18319.0,Reel
2007-06-06,25712.0,Reel
2007-06-07,17628.0,Reel
2007-06-08,20058.0,Reel
2007-06-09,20801.0,Reel
2007-06-10,13477.0,Reel
2007-06-11,10330.0,Reel
2007-06-12,17068.0,Reel
2007-06-13,22814.0,Reel
2007-06-14,23616.0,Reel
2007-06-15,26854.0,Reel
2007-06-16,15749.0,Reel
2007-06-17,10987.0,Reel
2007-06-18,19523.0,Reel
2007-06-19,15837.0,Reel
2007-06-20,19731.0,Reel
2007-06-21,12570.0,Reel
2007-06-22,22697.0,Reel
2007-06-23,17752.0,Reel
2007-06-24,23599.0,Reel
2007-06-25,19764.0,Reel
2007-06-26,16346.0,Reel
2007-06-27,22789.0,Reel
2007-06-28,15661.0,Reel
2007-06-29,23565.0,Reel
2007-06-30,6147.0,Reel
2007-07-01,14603.0,Reel
2007-07-02,11273.0,Reel
2007-07-03,16612.0,Reel
2007-07-04,18975.0,Reel
2007-07-05,20125.0,Reel
2007-07-06,16691.0,Reel
2007-07-07,9915.0,Reel
2007-07-08,18535.0,Reel
2007-07-09,13946.0,Reel
2007-07-10,17306.0,Reel
2007-07-11,14238.0,Reel
2007-07-12,19854.0,Reel
2007-07-13,11246.0,Reel
2007-07-14,15503.0,Reel
2007-07-15,26288.0,Reel
2007-07-16,25683.0,Reel
2007-07-17,23453.0,Reel
2007-07-18,12437.0,Reel
2007-07-19,17635.0,Reel
2007-07-20,20438.0,Reel
2007-07-21,15623.0,Reel
2007-07-22,15041.0,Reel
2007-07-23,24105.0,Reel
2007-07-24,20167.0,Reel
2007-07-25,12560.0,Reel
2007-07-26,22027.0,Reel
2007-07-27,18340.0,Reel
2007-07-28,13736.0,Reel
2007-07-29,17764.0,Reel
2007-07-30,16591.0,Reel
2007-07-31,10869.0,Reel
2007-08-01,19151.0,Reel
2007-08-02,16966.0,Reel
2007-08-03,21964.0,Reel
2007-08-04,18787.0,Reel
2007-08-05,19588.0,Reel
2007-08-06,18225.0,Reel
2007-08-07,27713.0,Reel
2007-08-08,18734.0,Reel
2007-08-09,17617.0,Reel
2007-08-10,30428.0,Reel
2007-08-11,22080.0,Reel
2007-08-12,21285.0,Reel
2007-08-13,17795.0,Reel
2007-08-14,17140.0,Reel
2007-08-15,11759.0,Reel
2007-08-16,23686.0,Reel
2007-08-17,21053.0,Reel
2007-08-18,17641.0,Reel
2007-08-19,21054.0,Reel
2007-08-20,16557.0,Reel
2007-08-21,17370.0,Reel
2007-08-22,17180.0,Reel
2007-08-23,18591.0,Reel
2007-08-24,13327.0,Reel
2007-08-25,9559.0,Reel
2007-08-26,21564.0,Reel
2007-08-27,16656.0,Reel
2007-08-28,27857.0,Reel
2007-08-29,21303.0,Reel
2007-08-30,15403.0,Reel
2007-08-31,15307.0,Reel
2007-09-01,12539.0,Reel
2007-09-02,18423.0,Reel
2007-09-03,15867.0,Reel
2007-09-04,13843.0,Reel
2007-09-05,20661.0,Reel
2007-09-06,22359.0,Reel
2007-09-07,20761.0,Reel
2007-09-08,18124.0,Reel
2007-09-09,21364.0,Reel
2007-09-10,10526.0,Reel
2007-09-11,21987.0,Reel
2007-09-12,20075.0,Reel
2007-09-13,14530.0,Reel
2007-09-14,16619.0,Reel
2007-09-15,24922.0,Reel
2007-09-16,15452.0,Reel
2007-09-17,18801.0,Reel
2007-09-18,24156.0,Reel
2007-09-19,18160.0,Reel
2007-09-20,16013.0,Reel
2007-09-21,17655.0,Reel
2007-09-22,18069.0,Reel
2007-09-23,24632.0,Reel
2007-09-24,19543.0,Reel
2007-09-25,17443.0,Reel
2007-09-26,18303.0,Reel
2007-09-27,20892.0,Reel
2007-09-28,22439.0,Reel
2007-09-29,18891.0,Reel
2007-09-30,18605.0,Reel
2007-10-01,16182.0,Reel
2007-10-02,20622.0,Reel
2007-10-03,20161.0,Reel
2007-10-04,14151.0,Reel
2007-10-05,25925.0,Reel
2007-10-06,16275.0,Reel
2007-10-07,21822.0,Reel
2007-10-08,19151.0,Reel
2007-10-09,24979.0,Reel
2007-10-10,15844.0,Reel
2007-10-11,18861.0,Reel
2007-10-12,20039.0,Reel
2007-10-13,17586.0,Reel
2007-10-14,8760.0,Reel
2007-10-15,23047.0,Reel
2007-10-16,21601.0,Reel
2007-10-17,22461.0,Reel
2007-10-18,16681.0,Reel
2007-10-19,19391.0,Reel
2007-10-20,20176.0,Reel
2007-10-21,23600.0,Reel
2007-10-22,12272.0,Reel
2007-10-23,14186.0,Reel
2007-10-24,16413.0,Reel
2007-10-25,19004.0,Reel
2007-10-26,16106.0,Reel
2007-10-27,23402.0,Reel
2007-10-28,18285.0,Reel
2007-10-29,15471.0,Reel
2007-10-30,14100.0,Reel
2007-10-31,9337.0,Reel
2007-11-01,26536.0,Reel
2007-11-02,19758.0,Reel
2007-11-03,20364.0,Reel
2007-11-04,14828.0,Reel
2007-11-05,13909.0,Reel
2007-11-06,26191.0,Reel
2007-11-07,16907.0,Reel
2007-11-08,23177.0,Reel
2007-11-09,11826.0,Reel
2007-11-10,20427.0,Reel
2007-11-11,16816.0,Reel
2007-11-12,24042.0,Reel
2007-11-13,20557.0,Reel
2007-11-14,17437.0,Reel
2007-11-15,17883.0,Reel
2007-11-16,14047.0,Reel
2007-11-17,22061.0,Reel
2007-11-18,19553.0,Reel
2007-11-19,12236.0,Reel
2007-11-20,15249.0,Reel
2007-11-21,15859.0,Reel
2007-11-22,19631.0,Reel
2007-11-23,16572.0,Reel
2007-11-24,18295.0,Reel
2007-11-25,13762.0,Reel
2007-11-26,13867.0,Reel
2007-11-27,19882.0,Reel
2007-11-28,17730.0,Reel
2007-11-29,19008.0,Reel
2007-11-30,21079.0,Reel
2007-12-01,18604.0,Reel
2007-12-02,21150.0,Reel
2007-12-03,24872.0,Reel
2007-12-04,21745.0,Reel
2007-12-05,11820.0,Reel
2007-12-06,20162.0,Reel
2007-12-07,21245.0,Reel
2007-12-08,17022.0,Reel
2007-12-09,15354.0,Reel
2007-12-10,12116.0,Reel
2007-12-11,21443.0,Reel
2007-12-12,24514.0,Reel
2007-12-13,19044.0,Reel
2007-12-14,17719.0,Reel
2007-12-15,24758.0,Reel
2007-12-16,22453.0,Reel
2007-12-17,12048.0,Reel
2007-12-18,17161.0,Reel
2007-12-19,19020.0,Reel
2007-12-20,21849.0,Reel
2007-12-21,21050.0,Reel
2007-12-22,20623.0,Reel
2007-12-23,21181.0,Reel
2007-12-24,19094.0,Reel
2007-12-25,16976.0,Reel
2007-12-26,20505.0,Reel
2007-12-27,14601.0,Reel
2007-12-28,13414.0,Reel
2007-12-29,28145.0,Reel
2007-12-30,24344.0,Reel
2007-12-31,23248.0,Reel
2008-01-01,17787.0,Reel
2008-01-02,14312.0,Reel
2008-01-03,24675.0,Reel
2008-01-04,22329.0,Reel
2008-01-05,20140.0,Reel
2008-01-06,18869.0,Reel
2008-01-07,25524.0,Reel
2008-01-08,16525.0,Reel
2008-01-09,17894.0,Reel
2008-01-10,21530.0,Reel
2008-01-11,14411.0,Reel
2008-01-12,13786.0,Reel
2008-01-13,18775.0,Reel
2008-01-14,18944.0,Reel
2008-01-15,24539.0,Reel
2008-01-16,19170.0,Reel
2008-01-17,24715.0,Reel
2008-01-18,17988.0,Reel
2008-01-19,10717.0,Reel
2008-01-20,13339.0,Reel
2008-01-21,19824.0,Reel
2008-01-22,15923.0,Reel
2008-01-23,21485.0,Reel
2008-01-24,18986.0,Reel
2008-01-25,19299.0,Reel
2008-01-26,11836.0,Reel
2008-01-27,13063.0,Reel
2008-01-28,23271.0,Reel
2008-01-29,19931.0,Reel
2008-01-30,23448.0,Reel
2008-01-31,16061.0,Reel
2008-02-01,14836.0,Reel
2008-02-02,25201.0,Reel
2008-02-03,20294.0,Reel
2008-02-04,16430.0,Reel
2008-02-05,20868.0,Reel
2008-02-06,18523.0,Reel
2008-02-07,18671.0,Reel
2008-02-08,18985.0,Reel
2008-02-09,15841.0,Reel
2008-02-10,18068.0,Reel
2008-02-11,12878.0,Reel
2008-02-12,13966.0,Reel
2008-02-13,26429.0,Reel
2008-02-14,19954.0,Reel
2008-02-15,16687.0,Reel
2008-02-16,12915.0,Reel
2008-02-17,29801.0,Reel
2008-02-18,25938.0,Reel
2008-02-19,12045.0,Reel
2008-02-20,14819.0,Reel
2008-02-21,22992.0,Reel
2008-02-22,19213.0,Reel
2008-02-23,18466.0,Reel
2008-02-24,14904.0,Reel
2008-02-25,16162.0,Reel
2008-02-26,24191.0,Reel
2008-02-27,21510.0,Reel
2008-02-28,18195.0,Reel
2008-02-29,17779.0,Reel
2008-03-01,20871.0,Reel
2008-03-02,24365.0,Reel
2008-03-03,23676.0,Reel
2008-03-04,20217.0,Reel
2008-03-05,27119.0,Reel
2008-03-06,24893.0,Reel
2008-03-07,14229.0,Reel
2008-03-08,18831.0,Reel
2008-03-09,19526.0,Reel
2008-03-10,15551.0,Reel
2008-03-11,20283.0,Reel
2008-03-12,21624.0,Reel
2008-03-13,17175.0,Reel
2008-03-14,15428.0,Reel
2008-03-15,25289.0,Reel
2008-03-16,19016.0,Reel
2008-03-17,21327.0,Reel
2008-03-18,19606.0,Reel
2008-03-19,22468.0,Reel
2008-03-20,22320.0,Reel
2008-03-21,18547.0,Reel
2008-03-22,18784.0,Reel
2008-03-23,13606.0,Reel
2008-03-24,11916.0,Reel
2008-03-25,16620.0,Reel
2008-03-26,10660.0,Reel
2008-03-27,21973.0,Reel
2008-03-28,13823.0,Reel
2008-03-29,17439.0,Reel
2008-03-30,19724.0,Reel
2008-03-31,13744.0,Reel
2008-04-01,19824.0,Reel
2008-04-02,15570.0,Reel
2008-04-03,22699.0,Reel
2008-04-04,27259.0,Reel
2008-04-05,22469.0,Reel
2008-04-06,20131.0,Reel
2008-04-07,25727.0,Reel
2008-04-08,19228.0,Reel
2008-04-09,14508.0,Reel
2008-04-10,18815.0,Reel
2008-04-11,22422.0,Reel
2008-04-12,16938.0,Reel
2008-04-13,17254.0,Reel
2008-04-14,22656.0,Reel
2008-04-15,21737.0,Reel
2008-04-16,13983.0,Reel
2008-04-17,21625.0,Reel
2008-04-18,18104.0,Reel
2008-04-19,18974.0,Reel
2008-04-20,21832.0,Reel
2008-04-21,12054.0,Reel
2008-04-22,15632.0,Reel
2008-04-23,24087.0,Reel
2008-04-24,22600.0,Reel
2008-04-25,18284.0,Reel
2008-04-26,33028.0,Reel
2008-04-27,22514.0,Reel
2008-04-28,19800.0,Reel
2008-04-29,17512.0,Reel
2008-04-30,24330.0,Reel
2008-05-01,20653.0,Reel
2008-05-02,24077.0,Reel
2008-05-03,17377.0,Reel
2008-05-04,18274.0,Reel
2008-05-05,12688.0,Reel
2008-05-06,21885.0,Reel
2008-05-07,18953.0,Reel
2008-05-08,9907.0,Reel
2008-05-09,18803.0,Reel
2008-05-10,20368.0,Reel
2008-05-11,15212.0,Reel
2008-05-12,15773.0,Reel
2008-05-13,22367.0,Reel
2008-05-14,24163.0,Reel
2008-05-15,10340.0,Reel
2008-05-16,22892.0,Reel
2008-05-17,17456.0,Reel
2008-05-18,17826.0,Reel
2008-05-19,18925.0,Reel
2008-05-20,14579.0,Reel
2008-05-21,12100.0,Reel
2008-05-22,12264.0,Reel
2008-05-23,23321.0,Reel
2008-05-24,9783.0,Reel
2008-05-25,20884.0,Reel
2008-05-26,21544.0,Reel
2008-05-27,20563.0,Reel
2008-05-28,12492.0,Reel
2008-05-29,17497.0,Reel
2008-05-30,16476.0,Reel
2008-05-31,15060.0,Reel
2008-06-01,18238.0,Reel
2008-06-02,15413.0,Reel
2008-06-03,11723.0,Reel
2008-06-04,19359.0,Reel
2008-06-05,17882.0,Reel
2008-06-06,13412.0,Reel
2008-06-07,24113.0,Reel
2008-06-08,17198.0,Reel
2008-06-09,24432.0,Reel
2008-06-10,20517.0,Reel
2008-06-11,19164.0,Reel
2008-06-12,13249.0,Reel
2008-06-13,13954.0,Reel
2008-06-14,18687.0,Reel
2008-06-15,15389.0,Reel
2008-06-16,19076.0,Reel
2008-06-17,14422.0,Reel
2008-06-18,19189.0,Reel
2008-06-19,9782.0,Reel
2008-06-20,19361.0,Reel
2008-06-21,26658.0,Reel
2008-06-22,25220.0,Reel
2008-06-23,26413.0,Reel
2008-06-24,23376.0,Reel
2008-06-25,22090.0,Reel
2008-06-26,19127.0,Reel
2008-06-27,17722.0,Reel
2008-06-28,13559.0,Reel
2008-06-29,20901.0,Reel
2008-06-30,21255.0,Reel
2008-07-01,19428.0,Reel
2008-07-02,11202.0,Reel
2008-07-03,23562.0,Reel
2008-07-04,20977.0,Reel
2008-07-05,21133.0,Reel
2008-07-06,11374.0,Reel
2008-07-07,18589.0,Reel
2008-07-08,16843.0,Reel
2008-07-09,24037.0,Reel
2008-07-10,20451.0,Reel
2008-07-11,20573.0,Reel
2008-07-12,16186.0,Reel
2008-07-13,11004.0,Reel
2008-07-14,24653.0,Reel
2008-07-15,13310.0,Reel
2008-07-16,13515.0,Reel
2008-07-17,20398.0,Reel
2008-07-18,13503.0,Reel
2008-07-19,14685.0,Reel
2008-07-20,16206.0,Reel
2008-07-21,22088.0,Reel
2008-07-22,18986.0,Reel
2008-07-23,18656.0,Reel
2008-07-24,12005.0,Reel
2008-07-25,14677.0,Reel
2008-07-26,18059.0,Reel
2008-07-27,17765.0,Reel
2008-07-28,17994.0,Reel
2008-07-29,17055.0,Reel
2008-07-30,11115.0,Reel
2008-07-31,17376.0,Reel
2008-08-01,20185.0,Reel
2008-08-02,19299.0,Reel
2008-08-03,14977.0,Reel
2008-08-04,18319.0,Reel
2008-08-05,14878.0,Reel
2008-08-06,18010.0,Reel
2008-08-07,11534.0,Reel
2008-08-08,22012.0,Reel
2008-08-09,11826.0,Reel
2008-08-10,22184.0,Reel
2008-08-11,17311.0,Reel
2008-08-12,19134.0,Reel
2008-08-13,10546.0,Reel
2008-08-14,12708.0,Reel
2008-08-15,22164.0,Reel
2008-08-16,21806.0,Reel
2008-08-17,11445.0,Reel
2008-08-18,25426.0,Reel
2008-08-19,11416.0,Reel
2008-08-20,17125.0,Reel
2008-08-21,20529.0,Reel
2008-08-22,12410.0,Reel
2008-08-23,17106.0,Reel
2008-08-24,26017.0,Reel
2008-08-25,12790.0,Reel
2008-08-26,17945.0,Reel
2008-08-27,20445.0,Reel
2008-08-28,17891.0,Reel
2008-08-29,20407.0,Reel
2008-08-30,13144.0,Reel
2008-08-31,17312.0,Reel
2008-09-01,15716.0,Reel
2008-09-02,20864.0,Reel
2008-09-03,16670.0,Reel
2008-09-04,16763.0,Reel
2008-09-05,10761.0,Reel
2008-09-06,11694.0,Reel
2008-09-07,12466.0,Reel
2008-09-08,19985.0,Reel
2008-09-09,12571.0,Reel
2008-09-10,13057.0,Reel
2008-09-11,16955.0,Reel
2008-09-12,23994.0,Reel
2008-09-13,21420.0,Reel
2008-09-14,24765.0,Reel
2008-09-15,21754.0,Reel
2008-09-16,18162.0,Reel
2008-09-17,20490.0,Reel
2008-09-18,16589.0,Reel
2008-09-19,26118.0,Reel
2008-09-20,18864.0,Reel
2008-09-21,18759.0,Reel
2008-09-22,17127.0,Reel
2008-09-23,27926.0,Reel
2008-09-24,16728.0,Reel
2008-09-25,17442.0,Reel
2008-09-26,17328.0,Reel
2008-09-27,22451.0,Reel
2008-09-28,14941.0,Reel
2008-09-29,15392.0,Reel
2008-09-30,17593.0,Reel
2008-10-01,14814.0,Reel
2008-10-02,22194.0,Reel
2008-10-03,21029.0,Reel
2008-10-04,17357.0,Reel
2008-10-05,15183.0,Reel
2008-10-06,25540.0,Reel
2008-10-07,21497.0,Reel
2008-10-08,24862.0,Reel
2008-10-09,12169.0,Reel
2008-10-10,16813.0,Reel
2008-10-11,24283.0,Reel
2008-10-12,17201.0,Reel
2008-10-13,14323.0,Reel
2008-10-14,16259.0,Reel
2008-10-15,15657.0,Reel
2008-10-16,27123.0,Reel
2008-10-17,15511.0,Reel
2008-10-18,23639.0,Reel
2008-10-19,16003.0,Reel
2008-10-20,22721.0,Reel
2008-10-21,19060.0,Reel
2008-10-22,13096.0,Reel
2008-10-23,24692.0,Reel
2008-10-24,13521.0,Reel
2008-10-25,17581.0,Reel
2008-10-26,11418.0,Reel
2008-10-27,20172.0,Reel
2008-10-28,18644.0,Reel
2008-10-29,20556.0,Reel
2008-10-30,19045.0,Reel
2008-10-31,17693.0,Reel
2008-11-01,23751.0,Reel
2008-11-02,11545.0,Reel
2008-11-03,13874.0,Reel
2008-11-04,15996.0,Reel
2008-11-05,17264.0,Reel
2008-11-06,17092.0,Reel
2008-11-07,17950.0,Reel
2008-11-08,18070.0,Reel
2008-11-09,22498.0,Reel
2008-11-10,11855.0,Reel
2008-11-11,15895.0,Reel
2008-11-12,15113.0,Reel
2008-11-13,23519.0,Reel
2008-11-14,22372.0,Reel
2008-11-15,13375.0,Reel
2008-11-16,14936.0,Reel
2008-11-17,18955.0,Reel
2008-11-18,20898.0,Reel
2008-11-19,11596.0,Reel
2008-11-20,14359.0,Reel
2008-11-21,20557.0,Reel
2008-11-22,22055.0,Reel
2008-11-23,14561.0,Reel
2008-11-24,17487.0,Reel
2008-11-25,18063.0,Reel
2008-11-26,22024.0,Reel
2008-11-27,24455.0,Reel
2008-11-28,26380.0,Reel
2008-11-29,13706.0,Reel
2008-11-30,18504.0,Reel
2008-12-01,18786.0,Reel
2008-12-02,16432.0,Reel
2008-12-03,23993.0,Reel
2008-12-04,21450.0,Reel
2008-12-05,14818.0,Reel
2008-12-06,22181.0,Reel
2008-12-07,19048.0,Reel
2008-12-08,19169.0,Reel
2008-12-09,21555.0,Reel
2008-12-10,12350.0,Reel
2008-12-11,14870.0,Reel
2008-12-12,17565.0,Reel
2008-12-13,22022.0,Reel
2008-12-14,18466.0,Reel
2008-12-15,20964.0,Reel
2008-12-16,20037.0,Reel
2008-12-17,23540.0,Reel
2008-12-18,11561.0,Reel
2008-12-19,23633.0,Reel
2008-12-20,17016.0,Reel
2008-12-21,13627.0,Reel
2008-12-22,17645.0,Reel
2008-12-23,19330.0,Reel
2008-12-24,18089.0,Reel
2008-12-25,21857.0,Reel
2008-12-26,14560.0,Reel
2008-12-27,17537.0,Reel
2008-12-28,24405.0,Reel
2008-12-29,16878.0,Reel
2008-12-30,15550.0,Reel
2008-12-31,21710.0,Reel
2009-01-01,21689.0,Reel
2009-01-02,22563.0,Reel
2009-01-03,19024.0,Reel
2009-01-04,22549.0,Reel
2009-01-05,22176.0,Reel
2009-01-06,15582.0,Reel
2009-01-07,19682.0,Reel
2009-01-08,18771.0,Reel
2009-01-09,24550.0,Reel
2009-01-10,21022.0,Reel
2009-01-11,25655.0,Reel
2009-01-12,25010.0,Reel
2009-01-13,21775.0,Reel
2009-01-14,27341.0,Reel
2009-01-15,16195.0,Reel
2009-01-16,20242.0,Reel
2009-01-17,19871.0,Reel
2009-01-18,12566.0,Reel
2009-01-19,27504.0,Reel
2009-01-20,22548.0,Reel
2009-01-21,13504.0,Reel
2009-01-22,14881.0,Reel
2009-01-23,19837.0,Reel
2009-01-24,14737.0,Reel
2009-01-25,23120.0,Reel
2009-01-26,19259.0,Reel
2009-01-27,18091.0,Reel
2009-01-28,16261.0,Reel
2009-01-29,20699.0,Reel
2009-01-30,12917.0,Reel
2009-01-31,18073.0,Reel
2009-02-01,26127.0,Reel
2009-02-02,17187.0,Reel
2009-02-03,24164.0,Reel
2009-02-04,14757.0,Reel
2009-02-05,9694.0,Reel
2009-02-06,24586.0,Reel
2009-02-07,18670.0,Reel
2009-02-08,14216.0,Reel
2009-02-09,18610.0,Reel
2009-02-10,21081.0,Reel
2009-02-11,12815.0,Reel
2009-02-12,20639.0,Reel
2009-02-13,10834.0,Reel
2009-02-14,22345.0,Reel
2009-02-15,20977.0,Reel
2009-02-16,16346.0,Reel
2009-02-17,19037.0,Reel
2009-02-18,15095.0,Reel
2009-02-19,13551.0,Reel
2009-02-20,20559.0,Reel
2009-02-21,14676.0,Reel
2009-02-22,31699.0,Reel
2009-02-23,24021.0,Reel
2009-02-24,20427.0,Reel
2009-02-25,19753.0,Reel
2009-02-26,22914.0,Reel
2009-02-27,22018.0,Reel
2009-02-28,24380.0,Reel
2009-03-01,26296.0,Reel
2009-03-02,10771.0,Reel
2009-03-03,21899.0,Reel
2009-03-04,14728.0,Reel
2009-03-05,18994.0,Reel
2009-03-06,12527.0,Reel
2009-03-07,29242.0,Reel
2009-03-08,19231.0,Reel
2009-03-09,20323.0,Reel
2009-03-10,23472.0,Reel
2009-03-11,20164.0,Reel
2009-03-12,23480.0,Reel
2009-03-13,15376.0,Reel
2009-03-14,13191.0,Reel
2009-03-15,15435.0,Reel
2009-03-16,27772.0,Reel
2009-03-17,17246.0,Reel
2009-03-18,16239.0,Reel
2009-03-19,21176.0,Reel
2009-03-20,19183.0,Reel
2009-03-21,25938.0,Reel
2009-03-22,20287.0,Reel
2009-03-23,16356.0,Reel
2009-03-24,21861.0,Reel
2009-03-25,20308.0,Reel
2009-03-26,17658.0,Reel
2009-03-27,17562.0,Reel
2009-03-28,17317.0,Reel
2009-03-29,21527.0,Reel
2009-03-30,8934.0,Reel
2009-03-31,18740.0,Reel
2009-04-01,21060.0,Reel
2009-04-02,16622.0,Reel
2009-04-03,23449.0,Reel
2009-04-04,16463.0,Reel
2009-04-05,28800.0,Reel
2009-04-06,21532.0,Reel
2009-04-07,17033.0,Reel
2009-04-08,10070.0,Reel
2009-04-09,14577.0,Reel
2009-04-10,21055.0,Reel
2009-04-11,16849.0,Reel
2009-04-12,16941.0,Reel
2009-04-13,10839.0,Reel
2009-04-14,22508.0,Reel
2009-04-15,23491.0,Reel
2009-04-16,13756.0,Reel
2009-04-17,20536.0,Reel
2009-04-18,14026.0,Reel
2009-04-19,29930.0,Reel
2009-04-20,13233.0,Reel
2009-04-21,12698.0,Reel
2009-04-22,17478.0,Reel
2009-04-23,19270.0,Reel
2009-04-24,25415.0,Reel
2009-04-25,27351.0,Reel
2009-04-26,17976.0,Reel
2009-04-27,17403.0,Reel
2009-04-28,18144.0,Reel
2009-04-29,18161.0,Reel
2009-04-30,15510.0,Reel
2009-05-01,18142.0,Reel
2009-05-02,24426.0,Reel
2009-05-03,23872.0,Reel
2009-05-04,27767.0,Reel
2009-05-05,16889.0,Reel
2009-05-06,26243.0,Reel
2009-05-07,20558.0,Reel
2009-05-08,19063.0,Reel
2009-05-09,21254.0,Reel
2009-05-10,15672.0,Reel
2009-05-11,21001.0,Reel
2009-05-12,12796.0,Reel
2009-05-13,21640.0,Reel
2009-05-14,20263.0,Reel
2009-05-15,16077.0,Reel
2009-05-16,22945.0,Reel
2009-05-17,16856.0,Reel
2009-05-18,16466.0,Reel
2009-05-19,20907.0,Reel
2009-05-20,14108.0,Reel
2009-05-21,13846.0,Reel
2009-05-22,17696.0,Reel
2009-05-23,15107.0,Reel
2009-05-24,22320.0,Reel
2009-05-25,18627.0,Reel
2009-05-26,29324.0,Reel
2009-05-27,22808.0,Reel
2009-05-28,23179.0,Reel
2009-05-29,20843.0,Reel
2009-05-30,15293.0,Reel
2009-05-31,24690.0,Reel
2009-06-01,20826.0,Reel
2009-06-02,24043.0,Reel
2009-06-03,26264.0,Reel
2009-06-04,15664.0,Reel
2009-06-05,22286.0,Reel
2009-06-06,21154.0,Reel
2009-06-07,11830.0,Reel
2009-06-08,20799.0,Reel
2009-06-09,12259.0,Reel
2009-06-10,20968.0,Reel
2009-06-11,17103.0,Reel
2009-06-12,10051.0,Reel
2009-06-13,15012.0,Reel
2009-06-14,17166.0,Reel
2009-06-15,21219.0,Reel
2009-06-16,21561.0,Reel
2009-06-17,25444.0,Reel
2009-06-18,16478.0,Reel
2009-06-19,14382.0,Reel
2009-06-20,20084.0,Reel
2009-06-21,18787.0,Reel
